type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2022-10-25 14:23:01,-22.49477502,-68.90691534,3.22,2332.271,,0.000,,20,36,,Calama airport
T,2022-10-25 14:23:55,-22.49477648,-68.90690927,3.22,2333.881,,0.000,,15,19,20221025-112301,GPS Logger: 20221025-112301 - Calama a SPA
T,2022-10-25 14:23:56,-22.49477646,-68.90690929,3.22,2333.869,,0.000,,15,19,,
T,2022-10-25 14:23:57,-22.49477704,-68.90690952,3.22,2333.801,,0.000,,14,18,,
T,2022-10-25 14:23:58,-22.49477700,-68.90690951,3.22,2333.806,,0.000,,16,20,,
T,2022-10-25 14:23:59,-22.49477699,-68.90690937,3.22,2333.845,,0.000,,16,20,,
T,2022-10-25 14:24:00,-22.49477699,-68.90690936,3.22,2333.839,,0.000,,16,20,,
T,2022-10-25 14:24:01,-22.49477697,-68.90690936,3.22,2333.838,,0.000,,16,20,,
T,2022-10-25 19:36:48,-22.46636403,-68.90329043,3.22,2320.807,,2.960,130,25,38,,
T,2022-10-25 19:36:49,-22.46638560,-68.90326512,3.22,2320.958,,3.790,129,25,38,,
T,2022-10-25 19:36:50,-22.46641193,-68.90323257,3.22,2320.370,,4.550,129,25,38,,
T,2022-10-25 19:36:51,-22.46645607,-68.90319127,3.22,2320.987,,5.290,133,25,38,,
T,2022-10-25 19:36:52,-22.46650543,-68.90314818,3.22,2320.522,,6.580,136,25,38,,
T,2022-10-25 19:36:53,-22.46652611,-68.90311375,3.22,2320.062,,5.390,129,25,38,,
T,2022-10-25 19:36:54,-22.46655685,-68.90307627,3.22,2319.613,,5.680,130,25,38,,
T,2022-10-25 19:36:55,-22.46659460,-68.90302616,3.22,2319.887,,6.380,129,25,38,,
T,2022-10-25 19:36:56,-22.46663974,-68.90296943,3.22,2320.265,,7.510,130,25,39,,
T,2022-10-25 19:36:57,-22.46668835,-68.90289976,3.22,2320.146,,8.870,128,25,39,,
T,2022-10-25 19:36:58,-22.46674393,-68.90281161,3.22,2320.156,,10.950,129,15,22,,
T,2022-10-25 19:36:59,-22.46681289,-68.90273762,3.22,2320.514,,10.890,130,14,22,,
T,2022-10-25 19:37:00,-22.46687070,-68.90265998,3.22,2320.433,,10.640,129,15,23,,
T,2022-10-25 19:37:01,-22.46691667,-68.90257908,3.22,2319.537,,11.000,128,13,19,,
T,2022-10-25 19:37:02,-22.46698145,-68.90248772,3.22,2319.508,,11.440,127,14,21,,
T,2022-10-25 19:37:03,-22.46704630,-68.90239853,3.22,2319.951,,11.210,126,14,22,,
T,2022-10-25 19:37:04,-22.46708968,-68.90232081,3.22,2319.206,,10.680,124,14,21,,
T,2022-10-25 19:37:05,-22.46713956,-68.90223634,3.22,2319.275,,10.010,122,14,22,,
T,2022-10-25 19:37:06,-22.46718084,-68.90216415,3.22,2319.628,,8.190,121,13,19,,
T,2022-10-25 19:37:07,-22.46721073,-68.90210785,3.22,2319.692,,7.010,119,14,21,,
