type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2022-10-26 13:07:40,-22.92711683,-67.85382347,3.22,4282.943,,12.590,19,19,19,,Pajonales entrance
W,2022-10-26 13:32:03,-22.94648763,-67.68519938,3.22,4821.196,,0.000,,18,20,,Nikon pano
W,2022-10-26 13:47:42,-22.94536399,-67.68360586,3.22,4817.200,,0.440,16,16,22,,Nikon pano 2
W,2022-10-26 13:51:16,-22.94464173,-67.68305640,3.22,4810.033,,1.140,102,15,18,,Outcrop
W,2022-10-26 14:03:13,-22.94626419,-67.68396146,3.22,4815.214,,0.990,287,16,18,,Hole
W,2022-10-26 14:19:56,-22.94611985,-67.68578558,3.22,4825.049,,1.280,47,18,19,,Dv marker
W,2022-10-26 15:01:30,-22.95011438,-67.68038524,3.22,4816.880,,0.000,,18,21,,Site 2
W,2022-10-26 15:09:12,-22.95101789,-67.68067323,3.22,4815.090,,0.000,,17,20,,Stop at site 2
W,2022-10-26 15:45:39,-22.94874820,-67.68855284,3.22,4843.374,,0.000,,18,23,,Overlook
T,2022-10-26 12:15:03,-22.91237215,-68.19896408,5.36,2480.516,,2.520,315,14,31,20221026-091503,GPS Logger: 20221026-091503 - PLB
T,2022-10-26 12:15:04,-22.91236145,-68.19896551,4.29,2474.016,,2.560,319,14,31,,
T,2022-10-26 12:53:58,-22.91064184,-67.99388379,3.22,3172.983,,24.150,94,19,28,,
T,2022-10-26 12:53:59,-22.91065732,-67.99366520,3.22,3173.035,,24.210,93,19,28,,
T,2022-10-26 12:54:00,-22.91067540,-67.99342322,3.22,3175.739,,24.230,95,19,28,,
T,2022-10-26 12:54:01,-22.91069961,-67.99317540,3.22,3177.845,,24.190,95,18,28,,
T,2022-10-26 12:54:02,-22.91070902,-67.99293130,3.22,3180.390,,24.210,94,18,28,,
T,2022-10-26 12:54:03,-22.91072428,-67.99269073,3.22,3180.829,,24.120,94,18,28,,
T,2022-10-26 12:54:04,-22.91073500,-67.99245235,3.22,3182.125,,24.180,94,18,28,,
T,2022-10-26 12:54:05,-22.91075210,-67.99221932,3.22,3181.441,,24.170,94,19,29,,
T,2022-10-26 12:54:06,-22.91076858,-67.99198546,3.22,3182.009,,24.070,94,19,29,,
T,2022-10-26 12:54:07,-22.91078424,-67.99174900,3.22,3182.666,,23.980,94,20,29,,
