type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2022-10-27 14:36:12,-22.94803914,-67.81999357,4.29,4662.594,,0.000,,17,23,,Parking
T,2022-10-27 12:37:09,-22.91275706,-68.19876928,3.22,2472.472,,0.000,,16,32,20221027-093709,GPS Logger: 20221027-093709 - Pajonales
T,2022-10-27 12:37:10,-22.91275636,-68.19876026,3.22,2472.492,,0.160,74,17,32,,
T,2022-10-27 12:37:11,-22.91275450,-68.19876185,3.22,2472.139,,0.000,,17,32,,
T,2022-10-27 12:37:12,-22.91275520,-68.19876342,3.22,2471.391,,0.700,43,16,21,,
T,2022-10-27 12:37:13,-22.91275297,-68.19876351,3.22,2472.271,,0.000,,17,21,,
T,2022-10-27 12:37:14,-22.91275167,-68.19876123,3.22,2471.955,,0.000,,17,22,,
T,2022-10-27 12:37:15,-22.91275161,-68.19876110,3.22,2471.955,,0.000,,17,22,,
T,2022-10-27 12:37:16,-22.91274987,-68.19876269,3.22,2472.563,,0.000,,12,17,,
T,2022-10-27 12:37:17,-22.91274940,-68.19876464,3.22,2472.484,,0.000,,16,20,,
T,2022-10-27 12:37:18,-22.91274938,-68.19876458,3.22,2472.484,,0.000,,16,20,,
T,2022-10-27 12:37:19,-22.91274893,-68.19876765,3.22,2472.811,,0.000,,13,20,,
T,2022-10-27 12:37:20,-22.91274891,-68.19876761,3.22,2472.812,,0.000,,13,20,,
T,2022-10-27 12:37:21,-22.91274939,-68.19876600,3.22,2472.583,,0.000,,15,22,,
T,2022-10-27 12:37:22,-22.91274709,-68.19876714,3.22,2472.499,,0.000,,16,23,,
T,2022-10-27 12:37:23,-22.91274595,-68.19876667,3.22,2472.676,,0.000,,15,22,,
T,2022-10-27 12:37:24,-22.91274528,-68.19876716,3.22,2472.981,,0.000,,16,22,,
T,2022-10-27 12:37:25,-22.91274465,-68.19876744,3.22,2472.738,,0.000,,15,22,,
T,2022-10-27 12:37:26,-22.91274449,-68.19876779,3.22,2472.660,,0.000,,14,21,,
T,2022-10-27 12:37:27,-22.91274394,-68.19876792,3.22,2472.513,,0.000,,15,22,,
T,2022-10-27 12:37:28,-22.91274393,-68.19876772,3.22,2472.501,,0.000,,15,21,,
T,2022-10-27 12:37:29,-22.91274396,-68.19876771,3.22,2472.517,,0.000,,14,20,,
T,2022-10-27 12:37:30,-22.91274373,-68.19876763,3.22,2472.573,,0.000,,14,21,,
T,2022-10-27 12:37:31,-22.91274377,-68.19876756,3.22,2472.573,,0.000,,14,21,,
T,2022-10-27 12:37:32,-22.91274377,-68.19876754,3.22,2472.573,,0.000,,14,21,,
T,2022-10-27 12:37:33,-22.91274980,-68.19875614,3.22,2473.774,,0.450,153,14,21,,
T,2022-10-27 12:37:34,-22.91275208,-68.19876168,3.22,2473.269,,0.360,153,14,21,,
T,2022-10-27 12:37:35,-22.91275300,-68.19876577,3.22,2472.959,,0.000,,16,23,,
