type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2022-10-27 14:52:37,-22.96109256,-67.80780920,4.29,4859.487,,9.060,128,11,20,,Entrada parqu
W,2022-10-27 15:06:32,-22.95913515,-67.78622820,3.22,5187.822,,0.000,,16,19,,Toco simons
T,2022-10-27 14:38:32,-22.94800726,-67.81998761,3.22,4665.359,,0.000,,22,33,20221027-113832,GPS Logger: 20221027-113832 - Cerro toco
T,2022-10-27 14:38:33,-22.94800774,-67.81998469,3.22,4665.703,,0.000,,22,33,,
T,2022-10-27 14:38:34,-22.94800604,-67.81998372,3.22,4665.495,,0.000,,22,33,,
T,2022-10-27 14:38:35,-22.94800375,-67.81998379,3.22,4665.441,,0.000,,22,33,,
T,2022-10-27 14:38:36,-22.94800276,-67.81998447,3.22,4665.476,,0.000,,22,33,,
T,2022-10-27 14:38:37,-22.94800366,-67.81998234,3.22,4665.056,,0.390,122,22,33,,
T,2022-10-27 14:38:38,-22.94800434,-67.81998942,3.22,4664.125,,0.780,270,16,33,,
T,2022-10-27 14:38:39,-22.94800863,-67.81998070,3.22,4663.873,,0.570,97,16,33,,
T,2022-10-27 14:38:40,-22.94801305,-67.81996856,3.22,4664.111,,0.480,97,15,23,,
T,2022-10-27 14:38:41,-22.94801288,-67.81996604,3.22,4663.508,,0.290,97,12,17,,
T,2022-10-27 14:38:42,-22.94801319,-67.81996349,3.22,4663.283,,0.290,97,12,17,,
T,2022-10-27 14:38:43,-22.94800694,-67.81996100,3.22,4663.567,,1.430,356,16,23,,
T,2022-10-27 14:38:44,-22.94799482,-67.81995965,3.22,4663.667,,1.430,4,15,22,,
T,2022-10-27 14:38:45,-22.94798565,-67.81995977,3.22,4663.462,,0.960,5,15,22,,
T,2022-10-27 14:38:46,-22.94797779,-67.81995869,3.22,4663.204,,1.220,5,12,20,,
T,2022-10-27 14:38:47,-22.94796795,-67.81995656,3.22,4663.257,,1.350,9,14,23,,
T,2022-10-27 14:38:48,-22.94795724,-67.81995385,3.22,4663.351,,1.350,10,14,23,,
T,2022-10-27 14:38:49,-22.94795050,-67.81995356,3.22,4662.730,,0.780,4,9,19,,
T,2022-10-27 14:38:50,-22.94794793,-67.81995462,3.22,4662.732,,0.420,343,14,22,,
T,2022-10-27 14:38:51,-22.94794239,-67.81995814,3.22,4663.120,,1.590,341,14,21,,
T,2022-10-27 14:38:52,-22.94793189,-67.81996400,3.22,4663.645,,1.550,348,11,17,,
T,2022-10-27 14:38:53,-22.94793427,-67.81997372,3.22,4664.444,,0.000,,13,20,,
T,2022-10-27 14:38:54,-22.94793818,-67.81997674,4.29,4664.451,,0.000,,12,19,,
T,2022-10-27 14:38:55,-22.94794010,-67.81997827,4.29,4664.450,,0.000,,13,21,,
T,2022-10-27 14:38:56,-22.94794058,-67.81997978,4.29,4664.433,,0.000,,12,20,,
T,2022-10-27 14:38:57,-22.94794083,-67.81998051,3.22,4664.435,,0.000,,13,21,,
