type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2022-10-27 16:24:43,-22.98079349,-67.76744285,6.43,5044.264,,6.500,104,13,18,,Atlast  telescope
W,2022-10-27 16:26:03,-22.98161885,-67.76559172,4.29,5028.963,,0.000,,9,16,,Area?
T,2022-10-27 16:07:34,-22.95915850,-67.78621937,3.22,5187.629,,0.000,,16,18,20221027-130734,GPS Logger: 20221027-130734 - Way back
T,2022-10-27 16:07:35,-22.95915847,-67.78621942,3.22,5187.636,,0.000,,16,18,,
T,2022-10-27 16:07:36,-22.95915847,-67.78621947,3.22,5187.648,,0.000,,15,16,,
T,2022-10-27 16:07:37,-22.95915848,-67.78621955,3.22,5187.649,,0.000,,15,16,,
T,2022-10-27 16:07:38,-22.95915853,-67.78621956,3.22,5187.634,,0.000,,15,16,,
T,2022-10-27 16:07:39,-22.95915858,-67.78621958,3.22,5187.631,,0.000,,15,17,,
T,2022-10-27 16:07:40,-22.95915855,-67.78621964,3.22,5187.642,,0.000,,15,16,,
T,2022-10-27 16:07:41,-22.95915853,-67.78621968,3.22,5187.648,,0.000,,15,16,,
T,2022-10-27 16:07:42,-22.95915852,-67.78621974,3.22,5187.653,,0.000,,15,16,,
T,2022-10-27 16:07:43,-22.95915855,-67.78621981,3.22,5187.655,,0.000,,17,18,,
T,2022-10-27 16:07:44,-22.95915595,-67.78622015,3.22,5187.535,,0.340,316,16,17,,
T,2022-10-27 16:07:45,-22.95915836,-67.78621614,3.22,5186.556,,0.000,,16,17,,
T,2022-10-27 16:07:46,-22.95915566,-67.78621241,3.22,5185.911,,0.460,52,16,17,,
T,2022-10-27 16:07:47,-22.95915156,-67.78620776,3.22,5185.446,,0.530,36,16,17,,
T,2022-10-27 16:07:48,-22.95915262,-67.78620439,3.22,5185.468,,0.000,,16,17,,
T,2022-10-27 16:07:49,-22.95915457,-67.78620340,3.22,5185.468,,0.000,,17,18,,
T,2022-10-27 16:07:50,-22.95915556,-67.78620290,3.22,5185.469,,0.000,,15,17,,
T,2022-10-27 16:07:51,-22.95915605,-67.78620263,3.22,5185.474,,0.000,,15,17,,
T,2022-10-27 16:07:52,-22.95915634,-67.78620251,3.22,5185.472,,0.000,,14,16,,
T,2022-10-27 16:07:53,-22.95915651,-67.78620244,3.22,5185.462,,0.000,,14,16,,
T,2022-10-27 16:07:54,-22.95915665,-67.78620243,3.22,5185.464,,0.000,,14,16,,
T,2022-10-27 16:07:55,-22.95915676,-67.78620244,3.22,5185.455,,0.000,,14,16,,
T,2022-10-27 16:07:56,-22.95915658,-67.78620054,3.22,5185.587,,0.320,38,14,16,,
T,2022-10-27 16:07:57,-22.95915667,-67.78619675,3.22,5185.813,,0.000,,14,16,,
T,2022-10-27 16:07:58,-22.95915744,-67.78619528,3.22,5185.791,,0.000,,16,17,,
T,2022-10-27 16:07:59,-22.95915782,-67.78619456,3.22,5185.791,,0.000,,17,18,,
T,2022-10-27 16:08:00,-22.95915803,-67.78619424,3.22,5185.791,,0.000,,17,18,,
T,2022-10-27 16:08:01,-22.95915815,-67.78619412,3.22,5185.788,,0.000,,17,18,,
T,2022-10-27 16:08:02,-22.95915821,-67.78619413,3.22,5185.783,,0.000,,17,18,,
T,2022-10-27 16:08:03,-22.95915826,-67.78619414,3.22,5185.774,,0.000,,16,18,,
T,2022-10-27 16:08:04,-22.95915833,-67.78619413,3.22,5185.774,,0.000,,16,18,,
T,2022-10-27 16:08:05,-22.95915837,-67.78619413,3.22,5185.775,,0.000,,16,18,,
T,2022-10-27 16:08:06,-22.95915842,-67.78619415,3.22,5185.774,,0.000,,16,18,,
T,2022-10-27 16:08:07,-22.95915844,-67.78619415,3.22,5185.774,,0.000,,16,18,,
T,2022-10-27 16:08:08,-22.95915845,-67.78619418,3.22,5185.776,,0.000,,16,18,,
T,2022-10-27 16:08:09,-22.95915846,-67.78619424,3.22,5185.780,,0.000,,16,18,,
T,2022-10-27 16:08:10,-22.95915848,-67.78619431,3.22,5185.784,,0.000,,16,18,,
T,2022-10-27 16:08:11,-22.95915848,-67.78619437,3.22,5185.792,,0.000,,16,18,,
T,2022-10-27 16:08:12,-22.95915850,-67.78619440,3.22,5185.801,,0.000,,16,18,,
T,2022-10-27 16:08:13,-22.95915852,-67.78619441,3.22,5185.804,,0.000,,16,18,,
T,2022-10-27 16:08:14,-22.95915852,-67.78619444,3.22,5185.809,,0.000,,16,18,,
T,2022-10-27 16:08:15,-22.95915853,-67.78619447,3.22,5185.813,,0.000,,16,18,,
T,2022-10-27 16:08:16,-22.95915857,-67.78619451,3.22,5185.816,,0.000,,16,18,,
T,2022-10-27 16:08:17,-22.95915862,-67.78619454,3.22,5185.822,,0.000,,16,18,,
T,2022-10-27 16:08:18,-22.95915861,-67.78619454,3.22,5185.815,,0.000,,16,18,,
T,2022-10-27 16:08:19,-22.95915861,-67.78619452,3.22,5185.816,,0.000,,16,18,,
T,2022-10-27 16:08:20,-22.95915861,-67.78619450,3.22,5185.824,,0.000,,16,18,,
