type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-10-28 13:00:47,-23.07193167,-67.98094186,5.36,2945.408,,1.590,254,18,29,20221028-100047,GPS Logger: 20221028-100047 - Alma osf
T,2022-10-28 13:00:48,-23.07193952,-67.98094103,4.29,2940.417,,0.850,246,18,29,,
T,2022-10-28 13:00:49,-23.07194208,-67.98095064,4.29,2943.794,,1.010,227,18,29,,
T,2022-10-28 13:00:50,-23.07194150,-67.98094327,4.29,2944.548,,0.000,,18,29,,
T,2022-10-28 13:00:51,-23.07193532,-67.98095066,4.29,2945.307,,0.000,,18,29,,
T,2022-10-28 13:00:52,-23.07190641,-67.98095759,4.29,2949.000,,0.000,,17,30,,
T,2022-10-28 13:00:53,-23.07191644,-67.98095590,4.29,2947.651,,0.270,136,21,30,,
T,2022-10-28 13:00:54,-23.07191213,-67.98096572,4.29,2948.620,,0.300,196,21,30,,
T,2022-10-28 13:00:55,-23.07190320,-67.98097324,4.29,2952.987,,0.000,,21,30,,
T,2022-10-28 13:00:56,-23.07189404,-67.98097691,4.29,2954.721,,0.210,102,19,30,,
T,2022-10-28 13:00:57,-23.07188258,-67.98098135,4.29,2954.982,,0.000,,19,30,,
T,2022-10-28 13:00:58,-23.07187631,-67.98098451,4.29,2954.911,,0.000,,19,30,,
T,2022-10-28 13:00:59,-23.07187377,-67.98098352,4.29,2954.769,,0.000,,18,30,,
T,2022-10-28 13:01:00,-23.07187280,-67.98098192,4.29,2954.984,,0.000,,18,30,,
T,2022-10-28 13:01:01,-23.07187171,-67.98098055,4.29,2955.093,,0.000,,18,30,,
T,2022-10-28 13:01:02,-23.07188404,-67.98098208,4.29,2955.256,,1.800,188,18,30,,
T,2022-10-28 13:01:03,-23.07191075,-67.98098946,4.29,2955.702,,3.220,203,18,30,,
T,2022-10-28 13:01:04,-23.07194729,-67.98100392,3.22,2954.805,,3.910,203,18,30,,
