type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2022-10-29 10:54:44,-22.91519324,-68.15874564,3.22,2475.247,,27.620,96,18,20,,Airstrip
W,2022-10-29 11:36:43,-22.92517329,-67.70282981,3.22,4854.285,,18.830,132,19,21,,Weather station
W,2022-10-29 11:39:37,-22.95079818,-67.68214081,3.22,4818.738,,0.000,,18,21,,Plb2
W,2022-10-29 11:53:10,-22.98826579,-67.63556762,3.22,4660.720,,0.000,,16,20,,PLB++
T,2022-10-29 10:47:06,-22.91203265,-68.19669000,3.22,2474.573,,5.700,135,17,30,20221029-074706,GPS Logger: 20221029-074706 - PLB++
T,2022-10-29 10:47:07,-22.91205955,-68.19664200,3.22,2474.282,,5.680,115,17,30,,
T,2022-10-29 10:47:08,-22.91207277,-68.19657849,3.22,2475.381,,6.540,102,18,30,,
T,2022-10-29 10:47:09,-22.91207965,-68.19652536,3.22,2475.028,,5.810,101,20,30,,
T,2022-10-29 10:47:10,-22.91206137,-68.19644987,3.22,2475.294,,7.360,85,20,31,,
T,2022-10-29 10:47:11,-22.91205837,-68.19638052,3.22,2474.923,,7.140,84,20,31,,
T,2022-10-29 10:47:12,-22.91205695,-68.19631794,3.22,2475.099,,6.330,87,20,31,,
T,2022-10-29 10:47:13,-22.91206273,-68.19625534,3.22,2475.062,,6.020,94,20,31,,
T,2022-10-29 10:47:14,-22.91206603,-68.19619255,3.22,2475.477,,5.920,93,20,31,,
T,2022-10-29 10:47:15,-22.91206450,-68.19613585,3.22,2474.414,,6.100,91,20,31,,
T,2022-10-29 10:47:16,-22.91206493,-68.19608209,3.22,2473.426,,6.350,91,20,31,,
T,2022-10-29 10:47:17,-22.91206610,-68.19602710,3.22,2473.097,,6.110,96,21,31,,
T,2022-10-29 10:47:18,-22.91207435,-68.19596992,3.22,2472.480,,5.910,98,20,31,,
T,2022-10-29 10:47:19,-22.91207725,-68.19591079,3.22,2471.764,,5.780,97,20,31,,
T,2022-10-29 10:47:20,-22.91207909,-68.19586378,3.22,2471.227,,4.630,93,17,22,,
T,2022-10-29 10:47:21,-22.91208253,-68.19582476,3.22,2470.543,,3.940,93,15,20,,
T,2022-10-29 10:47:22,-22.91208661,-68.19579429,3.22,2469.675,,2.960,92,18,22,,
T,2022-10-29 10:47:23,-22.91208796,-68.19576513,3.22,2469.932,,2.370,94,17,22,,
T,2022-10-29 10:47:24,-22.91209419,-68.19574117,3.22,2470.351,,2.050,115,17,23,,
