type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-10-29 16:10:00,-23.61235142,-66.72225226,3.22,3947.906,,27.670,80,17,26,20221029-131000,GPS Logger: 20221029-131000 - A SAC
T,2022-10-29 16:10:01,-23.61229873,-66.72200053,3.22,3949.609,,27.410,78,17,26,,
T,2022-10-29 16:10:02,-23.61222666,-66.72172993,3.22,3950.757,,27.480,76,17,26,,
T,2022-10-29 16:10:03,-23.61216262,-66.72147172,3.22,3949.856,,27.630,75,17,27,,
T,2022-10-29 16:10:04,-23.61209497,-66.72121893,3.22,3949.885,,27.360,74,17,27,,
T,2022-10-29 16:10:05,-23.61201523,-66.72096088,3.22,3949.244,,27.720,72,17,27,,
T,2022-10-29 16:10:06,-23.61192606,-66.72069527,3.22,3948.955,,28.530,70,17,27,,
T,2022-10-29 16:10:07,-23.61182396,-66.72044630,3.22,3949.638,,27.750,68,17,27,,
T,2022-10-29 16:10:08,-23.61173130,-66.72019404,3.22,3949.462,,27.620,68,16,27,,
T,2022-10-29 16:10:09,-23.61164128,-66.71994425,3.22,3949.227,,27.570,69,16,27,,
T,2022-10-29 16:10:10,-23.61154602,-66.71968862,3.22,3948.970,,27.870,68,16,27,,
T,2022-10-29 16:10:11,-23.61144736,-66.71942982,3.22,3950.191,,27.860,69,16,27,,
T,2022-10-29 16:10:12,-23.61136134,-66.71918118,3.22,3950.119,,27.790,69,16,27,,
T,2022-10-29 16:10:13,-23.61127452,-66.71893584,3.22,3950.134,,27.650,68,16,27,,
T,2022-10-29 16:10:14,-23.61118406,-66.71868731,3.22,3950.072,,27.590,69,16,27,,
T,2022-10-29 16:10:15,-23.61109008,-66.71843503,3.22,3950.080,,27.610,68,16,27,,
T,2022-10-29 16:10:16,-23.61099667,-66.71818061,3.22,3949.907,,27.660,68,16,27,,
T,2022-10-29 16:10:17,-23.61090785,-66.71793211,3.22,3949.484,,27.510,69,16,27,,
T,2022-10-29 16:10:18,-23.61081409,-66.71768202,3.22,3949.411,,27.660,68,15,27,,
T,2022-10-29 16:10:19,-23.61072500,-66.71743150,3.22,3949.207,,27.660,68,15,27,,
T,2022-10-29 16:10:20,-23.61063211,-66.71717731,3.22,3949.120,,27.760,69,15,27,,
T,2022-10-29 16:10:21,-23.61054191,-66.71693230,3.22,3949.572,,27.770,69,16,27,,
T,2022-10-29 16:10:22,-23.61045498,-66.71668520,3.22,3949.688,,27.590,69,16,18,,
T,2022-10-29 16:10:23,-23.61036510,-66.71644520,3.22,3950.432,,27.780,69,16,19,,
T,2022-10-29 16:10:24,-23.61027585,-66.71619787,3.22,3950.771,,27.770,68,17,20,,
T,2022-10-29 16:10:25,-23.61018017,-66.71594545,3.22,3950.342,,27.820,68,17,27,,
