type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2022-10-30 11:49:14,-24.18698776,-66.47797149,3.22,4863.159,,1.090,159,15,22,,Qubic
W,2022-10-30 12:00:39,-24.18573105,-66.47834989,3.22,4858.285,,1.250,105,12,20,,Nikonpano1
W,2022-10-30 12:01:59,-24.18587700,-66.47760927,3.22,4858.319,,0.000,,14,20,,Nikon pano2
W,2022-10-30 12:04:42,-24.18455090,-66.47793361,4.29,4840.195,,1.240,324,14,20,,Pano3
W,2022-10-30 12:08:17,-24.18487252,-66.47956167,3.22,4855.758,,0.790,235,14,19,,Flat1
W,2022-10-30 12:08:58,-24.18490586,-66.47952531,3.22,4855.154,,0.000,,14,20,,Pano flat
W,2022-10-30 12:22:02,-24.18624606,-66.47820463,3.22,4863.436,,0.000,,15,19,,Qubic overlook
W,2022-10-30 12:50:18,-24.19231520,-66.47479886,3.22,4812.165,,1.010,323,17,18,,Hole llama
W,2022-10-30 12:56:27,-24.19237424,-66.47403814,3.22,4816.661,,0.000,,16,18,,Aerosite
W,2022-10-30 13:33:43,-24.19211964,-66.51188327,3.22,4485.964,,0.000,,17,21,,Tocomar stop
W,2022-10-30 13:36:07,-24.19307952,-66.51123646,3.22,4471.089,,1.180,164,12,17,,Road?
W,2022-10-30 13:57:21,-24.19945717,-66.50922941,3.22,4454.715,,0.810,202,14,18,,Tocomar
W,2022-10-30 13:59:57,-24.20066128,-66.50943910,3.22,4459.536,,0.890,215,15,19,,Tocomar pano
W,2022-10-30 14:02:04,-24.20062742,-66.50873672,4.29,4458.417,,1.430,62,14,17,,Tocomar pano 2
W,2022-10-30 14:09:43,-24.20306152,-66.50805762,3.22,4453.613,,0.000,,15,33,,Tocomar pano 3
W,2022-10-30 14:27:17,-24.19838691,-66.50944567,3.22,4461.359,,1.150,328,16,20,,Huella tocomar
W,2022-10-30 14:55:00,-24.20334771,-66.48222358,4.29,4565.108,,7.220,122,15,19,,Rn 51 km 184 mirador tocomar
W,2022-10-30 14:56:06,-24.20697091,-66.47891220,3.22,4580.066,,6.880,152,13,14,,Tower road entrance
W,2022-10-30 15:19:45,-24.22559397,-66.43802317,4.29,4126.996,,12.930,153,15,16,,Gasoducto?
W,2022-10-30 15:24:40,-24.23720301,-66.42327345,3.22,4029.179,,0.000,,12,17,,Water source
W,2022-10-30 15:27:43,-24.23752873,-66.42363485,3.22,4041.880,,0.840,342,16,17,,Road 2
W,2022-10-30 16:03:34,-24.24562962,-66.34206318,3.22,3830.162,,8.890,55,14,19,,Power linea
T,2022-10-30 10:46:09,-24.24451101,-66.34014455,6.43,3821.688,,10.680,236,11,34,20221030-074609,GPS Logger: 20221030-074609 - Argentina sites
