type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2022-10-31 17:41:20,-24.21302819,-66.31250460,3.22,3818.402,,0.000,,23,31,,Llama buildind
W,2022-10-31 18:52:17,-24.49141887,-65.88676906,3.22,2825.931,,20.540,81,15,18,,Alfarcito (hotel)
W,2022-10-31 19:26:31,-24.76084190,-65.74477334,9.65,2139.005,,1.230,144,15,28,,Paso baden
W,2022-10-31 19:30:19,-24.78411280,-65.73248031,3.22,2060.329,,19.990,148,16,29,,Baden antes
W,2022-10-31 19:31:14,-24.79149498,-65.73087016,6.43,2045.271,,3.080,170,11,19,,Baden 3
W,2022-10-31 19:38:41,-24.85003750,-65.71797055,3.22,1816.648,,12.950,132,19,29,,Baden
W,2022-10-31 19:40:45,-24.85983293,-65.70498301,4.29,1794.449,,4.630,166,13,31,,Baden
T,2022-10-31 17:41:19,-24.21303033,-66.31250864,3.22,3817.302,,0.000,,23,31,20221031-144119,GPS Logger: 20221031-144119 - SAC a Salta
T,2022-10-31 17:41:20,-24.21302819,-66.31250460,3.22,3818.402,,0.000,,23,31,,
T,2022-10-31 17:41:21,-24.21302630,-66.31250049,3.22,3819.835,,0.000,,24,31,,
T,2022-10-31 17:41:22,-24.21302002,-66.31249983,3.22,3820.812,,0.000,,24,31,,
T,2022-10-31 17:41:27.626,-24.21300415,-66.31248819,3.22,3824.899,,0.000,,,29,,
T,2022-10-31 17:41:30,-24.21300344,-66.31248827,3.22,3825.320,,0.200,343,23,30,,
T,2022-10-31 17:41:35.546,-24.21299764,-66.31253491,3.22,3824.888,,0.680,313,,30,,
T,2022-10-31 17:41:37,-24.21298733,-66.31254106,3.22,3823.792,,0.530,313,24,30,,
T,2022-10-31 17:41:38,-24.21298009,-66.31254365,3.22,3822.393,,0.790,313,24,30,,
T,2022-10-31 17:41:39,-24.21297807,-66.31255111,3.22,3822.606,,0.830,313,24,30,,
T,2022-10-31 17:41:40,-24.21297986,-66.31255780,4.29,3822.371,,0.570,221,24,30,,
T,2022-10-31 17:41:41,-24.21298285,-66.31256178,3.22,3821.150,,0.290,271,24,30,,
T,2022-10-31 17:41:42,-24.21298943,-66.31257055,3.22,3820.411,,1.520,226,23,30,,
T,2022-10-31 17:41:43,-24.21299671,-66.31258357,3.22,3819.069,,1.500,240,23,30,,
T,2022-10-31 17:41:44,-24.21300052,-66.31259588,4.29,3818.306,,1.480,243,23,30,,
T,2022-10-31 17:41:45,-24.21299975,-66.31261024,4.29,3819.360,,1.480,266,23,30,,
T,2022-10-31 17:41:46,-24.21299682,-66.31262444,8.58,3819.865,,1.450,271,22,30,,
T,2022-10-31 17:41:47,-24.21299516,-66.31263981,4.29,3819.007,,1.460,280,22,31,,
T,2022-10-31 17:41:48,-24.21299779,-66.31264498,3.22,3818.473,,0.000,,22,32,,
T,2022-10-31 17:41:49,-24.21299994,-66.31264463,3.22,3817.870,,0.000,,22,32,,
T,2022-10-31 17:41:50,-24.21300017,-66.31264301,3.22,3818.305,,0.000,,22,32,,
T,2022-10-31 17:41:51,-24.21300022,-66.31264196,3.22,3818.305,,0.000,,17,24,,
T,2022-10-31 17:41:52,-24.21300024,-66.31264141,3.22,3818.308,,0.000,,13,20,,
T,2022-10-31 17:41:53,-24.21300061,-66.31264189,3.22,3818.607,,0.770,112,17,24,,
T,2022-10-31 17:41:54,-24.21300134,-66.31263658,3.22,3818.695,,0.930,75,16,21,,
T,2022-10-31 17:41:55,-24.21300081,-66.31262070,3.22,3819.042,,1.420,85,17,24,,
T,2022-10-31 17:41:56,-24.21300056,-66.31260249,3.22,3818.854,,1.380,90,18,25,,
T,2022-10-31 17:41:57,-24.21300134,-66.31258631,3.22,3818.872,,1.290,96,15,19,,
T,2022-10-31 17:41:58,-24.21300340,-66.31257192,3.22,3819.063,,1.250,99,16,21,,
T,2022-10-31 17:41:59,-24.21300509,-66.31255870,3.22,3819.528,,1.230,97,15,20,,
T,2022-10-31 17:42:00,-24.21300870,-66.31254546,3.22,3819.020,,1.190,114,15,22,,
T,2022-10-31 17:42:01,-24.21301305,-66.31253563,3.22,3819.441,,1.170,107,15,22,,
T,2022-10-31 17:42:02,-24.21301332,-66.31253026,3.22,3819.371,,0.000,,13,20,,
T,2022-10-31 17:42:03,-24.21301143,-66.31253034,3.22,3819.377,,0.000,,15,21,,
T,2022-10-31 17:42:04,-24.21300641,-66.31251792,3.22,3819.395,,0.000,,15,21,,
T,2022-10-31 17:42:05,-24.21300427,-66.31251157,3.22,3819.409,,0.000,,18,22,,
T,2022-10-31 17:42:06,-24.21300318,-66.31250840,3.22,3819.404,,0.000,,17,21,,
